"Plot Title: RLCP HOBO U20L_01"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 21571440, SEN S/N: 21571440)","Temp, °C (LGR S/N: 21571440, SEN S/N: 21571440)","Pressure Barom., kPa (LGR S/N: )","Sensor Depth, meters (LGR S/N: 21571440)","Coupler Detached (LGR S/N: 21571440)","Coupler Attached (LGR S/N: 21571440)","Stopped (LGR S/N: 21571440)","End Of File (LGR S/N: 21571440)"
51,02/22/23 06:00:00 PM,104.972,7.983,100.670,0.439,,,,
52,02/22/23 07:00:00 PM,104.982,7.882,100.710,0.436,,,,
53,02/22/23 08:00:00 PM,104.972,7.682,100.730,0.433,,,,
54,02/22/23 09:00:00 PM,105.004,7.481,100.790,0.430,,,,
55,02/22/23 10:00:00 PM,105.036,7.381,100.810,0.431,,,,
56,02/22/23 11:00:00 PM,105.058,7.179,100.860,0.428,,,,
57,02/23/23 12:00:00 AM,105.068,7.179,100.900,0.425,,,,
58,02/23/23 01:00:00 AM,105.090,7.079,100.920,0.425,,,,
59,02/23/23 02:00:00 AM,105.100,6.978,100.940,0.424,,,,
60,02/23/23 03:00:00 AM,105.122,6.978,100.950,0.426,,,,
61,02/23/23 04:00:00 AM,105.143,6.877,100.940,0.429,,,,
62,02/23/23 05:00:00 AM,105.219,6.877,101.020,0.428,,,,
63,02/23/23 06:00:00 AM,105.272,6.877,101.060,0.430,,,,
64,02/23/23 07:00:00 AM,105.348,6.775,101.150,0.428,,,,
65,02/23/23 08:00:00 AM,105.434,6.775,101.260,0.426,,,,
66,02/23/23 09:00:00 AM,105.487,6.775,101.350,0.422,,,,
67,02/23/23 10:00:00 AM,105.531,6.978,101.410,0.420,,,,
68,02/23/23 11:00:00 AM,105.553,7.280,101.420,0.422,,,,
69,02/23/23 12:00:00 PM,105.564,7.582,101.440,0.421,,,,
70,02/23/23 01:00:00 PM,105.542,7.983,101.420,0.420,,,,
71,02/23/23 02:00:00 PM,105.553,7.882,101.450,0.419,,,,
72,02/23/23 03:00:00 PM,105.607,7.782,101.460,0.423,,,,
73,02/23/23 04:00:00 PM,105.682,7.682,101.490,0.428,,,,
74,02/23/23 05:00:00 PM,105.704,7.481,101.490,0.430,,,,
75,02/23/23 06:00:00 PM,105.746,6.978,101.500,0.433,,,,
76,02/23/23 07:00:00 PM,105.701,6.370,101.470,0.432,,,,
77,02/23/23 08:00:00 PM,105.645,5.860,101.380,0.435,,,,
78,02/23/23 09:00:00 PM,105.653,5.347,101.420,0.432,,,,
79,02/23/23 10:00:00 PM,105.575,4.934,101.380,0.428,,,,
80,02/23/23 11:00:00 PM,105.508,4.623,101.290,0.430,,,,
81,02/24/23 12:00:00 AM,105.397,4.207,101.250,0.423,,,,
82,02/24/23 01:00:00 AM,105.319,3.998,101.150,0.425,,,,
83,02/24/23 02:00:00 AM,105.242,3.788,101.070,0.425,,,,
84,02/24/23 03:00:00 AM,105.155,3.683,100.990,0.425,,,,
85,02/24/23 04:00:00 AM,105.046,3.578,100.880,0.425,,,,
86,02/24/23 05:00:00 AM,104.982,3.578,100.820,0.424,,,,
87,02/24/23 06:00:00 AM,104.907,3.578,100.740,0.425,,,,
88,02/24/23 07:00:00 AM,104.873,3.472,100.700,0.426,,,,
89,02/24/23 08:00:00 AM,104.841,3.472,100.680,0.424,,,,
90,02/24/23 09:00:00 AM,104.823,3.788,100.660,0.425,,,,
91,02/24/23 10:00:00 AM,104.763,4.207,100.640,0.420,,,,
92,02/24/23 11:00:00 AM,104.746,4.727,100.630,0.420,,,,
93,02/24/23 12:00:00 PM,104.707,5.347,100.610,0.418,,,,
94,02/24/23 01:00:00 PM,104.699,5.860,100.520,0.426,,,,
95,02/24/23 02:00:00 PM,104.733,6.268,100.580,0.424,,,,
96,02/24/23 03:00:00 PM,104.745,6.573,100.500,0.433,,,,
97,02/24/23 04:00:00 PM,104.799,6.775,100.550,0.433,,,,
98,02/24/23 05:00:00 PM,104.852,6.573,100.630,0.431,,,,
99,02/24/23 06:00:00 PM,104.927,6.268,100.690,0.432,,,,
100,02/24/23 07:00:00 PM,104.937,6.064,100.680,0.434,,,,
101,02/24/23 08:00:00 PM,104.989,5.860,100.740,0.433,,,,
102,02/24/23 09:00:00 PM,105.010,5.655,100.770,0.432,,,,
103,02/24/23 10:00:00 PM,105.030,5.450,100.810,0.430,,,,
104,02/24/23 11:00:00 PM,105.018,5.244,100.830,0.427,,,,
105,02/25/23 12:00:00 AM,105.027,4.934,100.850,0.426,,,,
106,02/25/23 01:00:00 AM,105.058,4.831,100.880,0.426,,,,
107,02/25/23 02:00:00 AM,105.047,4.727,100.890,0.424,,,,
108,02/25/23 03:00:00 AM,105.057,4.623,100.890,0.425,,,,
109,02/25/23 04:00:00 AM,105.099,4.519,100.910,0.427,,,,
110,02/25/23 05:00:00 AM,105.119,4.415,100.930,0.427,,,,
111,02/25/23 06:00:00 AM,105.130,4.415,100.940,0.427,,,,
112,02/25/23 07:00:00 AM,105.151,4.311,100.990,0.424,,,,
113,02/25/23 08:00:00 AM,105.227,4.415,101.090,0.422,,,,
114,02/25/23 09:00:00 AM,105.260,4.519,101.100,0.424,,,,
115,02/25/23 10:00:00 AM,105.251,4.727,101.080,0.425,,,,
116,02/25/23 11:00:00 AM,105.297,5.141,101.200,0.418,,,,
117,02/25/23 12:00:00 PM,105.290,5.757,101.190,0.418,,,,
118,02/25/23 01:00:00 PM,105.281,6.064,101.140,0.422,,,,
119,02/25/23 02:00:00 PM,105.271,6.471,101.150,0.420,,,,
120,02/25/23 03:00:00 PM,105.326,6.775,101.250,0.416,,,,
121,02/25/23 04:00:00 PM,105.433,6.573,101.320,0.419,,,,
122,02/25/23 05:00:00 PM,105.518,6.268,101.360,0.424,,,,
123,02/25/23 06:00:00 PM,105.549,5.962,101.400,0.423,,,,
124,02/25/23 07:00:00 PM,105.644,5.655,101.470,0.426,,,,
125,02/25/23 08:00:00 PM,105.695,5.244,101.480,0.430,,,,
126,02/25/23 09:00:00 PM,105.725,4.831,101.530,0.428,,,,
127,02/25/23 10:00:00 PM,105.785,4.415,101.570,0.430,,,,
128,02/25/23 11:00:00 PM,105.816,4.207,101.660,0.424,,,,
129,02/26/23 12:00:00 AM,105.835,3.998,101.650,0.427,,,,
130,02/26/23 01:00:00 AM,105.854,3.788,101.730,0.421,,,,
131,02/26/23 02:00:00 AM,105.864,3.683,101.740,0.421,,,,
132,02/26/23 03:00:00 AM,105.916,3.578,101.750,0.425,,,,
133,02/26/23 04:00:00 AM,105.944,3.261,101.780,0.425,,,,
134,02/26/23 05:00:00 AM,106.007,3.155,101.860,0.423,,,,
135,02/26/23 06:00:00 AM,106.060,3.049,101.920,0.422,,,,
136,02/26/23 07:00:00 AM,106.123,2.943,101.990,0.421,,,,
137,02/26/23 08:00:00 AM,106.196,2.837,102.080,0.420,,,,
138,02/26/23 09:00:00 AM,106.261,2.837,102.130,0.421,,,,
139,02/26/23 10:00:00 AM,106.307,3.049,102.190,0.420,,,,
140,02/26/23 11:00:00 AM,106.367,3.578,102.290,0.416,,,,
141,02/26/23 12:00:00 PM,106.386,4.311,102.350,0.412,,,,
142,02/26/23 01:00:00 PM,106.434,4.831,102.370,0.414,,,,
143,02/26/23 02:00:00 PM,106.426,5.141,102.300,0.421,,,,
144,02/26/23 03:00:00 PM,106.449,5.347,102.410,0.412,,,,
145,02/26/23 04:00:00 PM,106.438,5.347,102.360,0.416,,,,
146,02/26/23 05:00:00 PM,106.490,5.037,102.410,0.416,,,,
147,02/26/23 06:00:00 PM,106.583,4.623,102.460,0.420,,,,
148,02/26/23 07:00:00 PM,106.622,4.207,102.480,0.422,,,,
149,02/26/23 08:00:00 PM,106.660,3.788,102.460,0.428,,,,
150,02/26/23 09:00:00 PM,106.664,3.261,102.490,0.426,,,,
151,02/26/23 10:00:00 PM,106.681,2.943,102.510,0.425,,,,
152,02/26/23 11:00:00 PM,106.664,2.517,102.520,0.423,,,,
153,02/27/23 12:00:00 AM,106.693,2.303,102.540,0.424,,,,
154,02/27/23 01:00:00 AM,106.655,1.980,102.540,0.420,,,,
155,02/27/23 02:00:00 AM,106.640,1.764,102.520,0.420,,,,
156,02/27/23 03:00:00 AM,106.626,1.548,102.530,0.418,,,,
157,02/27/23 04:00:00 AM,106.643,1.330,102.520,0.420,,,,
158,02/27/23 05:00:00 AM,106.664,1.330,102.530,0.422,,,,
159,02/27/23 06:00:00 AM,106.688,1.439,102.560,0.421,,,,
160,02/27/23 07:00:00 AM,106.712,1.548,102.590,0.420,,,,
161,02/27/23 08:00:00 AM,106.756,1.656,102.650,0.419,,,,
162,02/27/23 09:00:00 AM,106.760,1.872,102.670,0.417,,,,
163,02/27/23 10:00:00 AM,106.759,2.410,102.700,0.414,,,,
164,02/27/23 11:00:00 AM,106.790,3.049,102.740,0.413,,,,
165,02/27/23 12:00:00 PM,106.763,3.472,102.720,0.412,,,,
166,02/27/23 01:00:00 PM,106.696,4.102,102.640,0.414,,,,
167,02/27/23 02:00:00 PM,106.671,4.934,102.560,0.419,,,,
168,02/27/23 03:00:00 PM,106.665,5.450,102.590,0.416,,,,
169,02/27/23 04:00:00 PM,106.676,5.552,102.580,0.418,,,,
170,02/27/23 05:00:00 PM,106.782,5.244,102.670,0.419,,,,
171,02/27/23 06:00:00 PM,106.886,4.831,102.710,0.426,,,,
172,02/27/23 07:00:00 PM,106.935,4.415,102.720,0.430,,,,
173,02/27/23 08:00:00 PM,106.930,3.893,102.710,0.430,,,,
174,02/27/23 09:00:00 PM,106.914,3.472,102.730,0.427,,,,
175,02/27/23 10:00:00 PM,106.876,3.049,102.710,0.425,,,,
176,02/27/23 11:00:00 PM,106.903,2.730,102.730,0.426,,,,
177,02/28/23 12:00:00 AM,106.920,2.410,102.770,0.423,,,,
178,02/28/23 01:00:00 AM,106.902,1.980,102.750,0.423,,,,
179,02/28/23 02:00:00 AM,106.876,1.764,102.750,0.421,,,,
180,02/28/23 03:00:00 AM,106.881,1.439,102.730,0.423,,,,
181,02/28/23 04:00:00 AM,106.877,1.221,102.740,0.422,,,,
182,02/28/23 05:00:00 AM,106.905,1.003,102.770,0.422,,,,
183,02/28/23 06:00:00 AM,106.945,0.893,102.780,0.425,,,,
184,02/28/23 07:00:00 AM,106.913,0.893,102.770,0.423,,,,
185,02/28/23 08:00:00 AM,106.896,1.112,102.790,0.419,,,,
186,02/28/23 09:00:00 AM,106.913,1.439,102.830,0.416,,,,
187,02/28/23 10:00:00 AM,106.889,1.872,102.810,0.416,,,,
188,02/28/23 11:00:00 AM,106.834,2.410,102.760,0.415,,,,
189,02/28/23 12:00:00 PM,106.787,2.837,102.720,0.415,,,,
190,02/28/23 01:00:00 PM,106.728,3.261,102.680,0.413,,,,
191,02/28/23 02:00:00 PM,106.668,3.578,102.660,0.409,,,,
192,02/28/23 03:00:00 PM,106.638,3.788,102.600,0.412,,,,
193,02/28/23 04:00:00 PM,106.630,3.998,102.570,0.414,,,,
194,02/28/23 05:00:00 PM,106.705,3.998,102.620,0.417,,,,
195,02/28/23 06:00:00 PM,106.802,3.998,102.690,0.419,,,,
196,02/28/23 07:00:00 PM,106.856,3.998,102.690,0.425,,,,
197,02/28/23 08:00:00 PM,106.876,3.893,102.730,0.423,,,,
198,02/28/23 09:00:00 PM,106.865,3.893,102.720,0.423,,,,
199,02/28/23 10:00:00 PM,106.919,3.893,102.780,0.422,,,,
200,02/28/23 11:00:00 PM,106.898,3.893,102.750,0.423,,,,
201,03/01/23 12:00:00 AM,106.886,3.788,102.780,0.419,,,,
202,03/01/23 01:00:00 AM,106.864,3.788,102.770,0.418,,,,
203,03/01/23 02:00:00 AM,106.821,3.788,102.730,0.417,,,,
204,03/01/23 03:00:00 AM,106.778,3.788,102.640,0.422,,,,
205,03/01/23 04:00:00 AM,106.723,3.683,102.620,0.418,,,,
206,03/01/23 05:00:00 AM,106.723,3.683,102.560,0.425,,,,
207,03/01/23 06:00:00 AM,106.690,3.578,102.560,0.421,,,,
208,03/01/23 07:00:00 AM,106.700,3.578,102.550,0.423,,,,
209,03/01/23 08:00:00 AM,106.712,3.683,102.580,0.421,,,,
210,03/01/23 09:00:00 AM,106.640,3.893,102.530,0.419,,,,
211,03/01/23 10:00:00 AM,106.622,4.207,102.520,0.418,,,,
212,03/01/23 11:00:00 AM,106.572,4.623,102.480,0.417,,,,
213,03/01/23 12:00:00 PM,106.468,5.037,102.390,0.416,,,,
214,03/01/23 01:00:00 PM,106.353,5.552,102.300,0.413,,,,
215,03/01/23 02:00:00 PM,106.312,5.860,102.240,0.415,,,,
216,03/01/23 03:00:00 PM,106.249,6.166,102.180,0.415,,,,
217,03/01/23 04:00:00 PM,106.153,6.268,102.070,0.416,,,,
218,03/01/23 05:00:00 PM,106.173,6.064,102.090,0.416,,,,
219,03/01/23 06:00:00 PM,106.258,5.860,102.110,0.423,,,,
220,03/01/23 07:00:00 PM,106.279,5.757,102.100,0.426,,,,
221,03/01/23 08:00:00 PM,106.289,5.552,102.100,0.427,,,,
222,03/01/23 09:00:00 PM,106.288,5.450,102.150,0.422,,,,
223,03/01/23 10:00:00 PM,106.340,5.141,102.180,0.424,,,,
224,03/01/23 11:00:00 PM,106.284,4.831,102.120,0.425,,,,
225,03/02/23 12:00:00 AM,106.248,4.415,102.090,0.424,,,,
226,03/02/23 01:00:00 AM,106.243,3.998,102.070,0.426,,,,
227,03/02/23 02:00:00 AM,106.207,3.683,102.030,0.426,,,,
228,03/02/23 03:00:00 AM,106.150,3.367,102.000,0.423,,,,
229,03/02/23 04:00:00 AM,106.148,3.261,102.010,0.422,,,,
230,03/02/23 05:00:00 AM,106.169,3.155,102.040,0.421,,,,
231,03/02/23 06:00:00 AM,106.178,3.049,102.020,0.424,,,,
232,03/02/23 07:00:00 AM,106.198,2.943,102.040,0.424,,,,
233,03/02/23 08:00:00 AM,106.205,2.730,102.050,0.424,,,,
234,03/02/23 09:00:00 AM,106.239,2.837,102.100,0.422,,,,
235,03/02/23 10:00:00 AM,106.246,3.367,102.070,0.426,,,,
236,03/02/23 11:00:00 AM,106.242,3.893,102.100,0.422,,,,
237,03/02/23 12:00:00 PM,106.206,4.623,102.090,0.420,,,,
238,03/02/23 01:00:00 PM,106.181,5.552,102.110,0.415,,,,
239,03/02/23 02:00:00 PM,106.164,6.268,102.020,0.423,,,,
240,03/02/23 03:00:00 PM,106.144,6.775,101.990,0.424,,,,
241,03/02/23 04:00:00 PM,106.133,6.674,101.950,0.427,,,,
242,03/02/23 05:00:00 PM,106.217,6.268,102.050,0.425,,,,
243,03/02/23 06:00:00 PM,106.313,5.962,102.150,0.425,,,,
244,03/02/23 07:00:00 PM,106.387,5.757,102.180,0.429,,,,
245,03/02/23 08:00:00 PM,106.396,5.450,102.230,0.425,,,,
246,03/02/23 09:00:00 PM,106.394,5.244,102.230,0.425,,,,
247,03/02/23 10:00:00 PM,106.393,5.037,102.260,0.421,,,,
248,03/02/23 11:00:00 PM,106.370,4.934,102.240,0.421,,,,
249,03/03/23 12:00:00 AM,106.348,4.831,102.240,0.419,,,,
250,03/03/23 01:00:00 AM,106.369,4.727,102.270,0.418,,,,
251,03/03/23 02:00:00 AM,106.378,4.519,102.270,0.419,,,,
252,03/03/23 03:00:00 AM,106.355,4.415,102.250,0.419,,,,
253,03/03/23 04:00:00 AM,106.354,4.311,102.220,0.422,,,,
254,03/03/23 05:00:00 AM,106.385,4.207,102.260,0.421,,,,
255,03/03/23 06:00:00 AM,106.395,4.102,102.270,0.421,,,,
256,03/03/23 07:00:00 AM,106.438,4.102,102.320,0.420,,,,
257,03/03/23 08:00:00 AM,106.438,4.102,102.340,0.418,,,,
258,03/03/23 09:00:00 AM,106.471,4.207,102.360,0.419,,,,
259,03/03/23 10:00:00 AM,106.494,4.311,102.400,0.418,,,,
260,03/03/23 11:00:00 AM,106.519,4.727,102.410,0.419,,,,
261,03/03/23 12:00:00 PM,106.501,5.141,102.410,0.417,,,,
262,03/03/23 01:00:00 PM,106.450,5.552,102.420,0.411,,,,
263,03/03/23 02:00:00 PM,106.398,5.757,102.380,0.410,,,,
264,03/03/23 03:00:00 PM,106.422,6.268,102.360,0.414,,,,
265,03/03/23 04:00:00 PM,106.422,6.268,102.290,0.421,,,,
266,03/03/23 05:00:00 PM,106.496,6.064,102.340,0.424,,,,
267,03/03/23 06:00:00 PM,106.538,5.860,102.380,0.424,,,,
268,03/03/23 07:00:00 PM,106.612,5.655,102.420,0.428,,,,
269,03/03/23 08:00:00 PM,106.611,5.450,102.440,0.425,,,,
270,03/03/23 09:00:00 PM,106.610,5.347,102.480,0.421,,,,
271,03/03/23 10:00:00 PM,106.631,5.244,102.480,0.423,,,,
272,03/03/23 11:00:00 PM,106.609,5.141,102.480,0.421,,,,
273,03/04/23 12:00:00 AM,106.608,5.037,102.530,0.416,,,,
274,03/04/23 01:00:00 AM,106.575,4.934,102.480,0.418,,,,
275,03/04/23 02:00:00 AM,106.542,4.831,102.460,0.416,,,,
276,03/04/23 03:00:00 AM,106.476,4.727,102.410,0.415,,,,
277,03/04/23 04:00:00 AM,106.476,4.727,102.400,0.416,,,,
278,03/04/23 05:00:00 AM,106.507,4.623,102.410,0.418,,,,
279,03/04/23 06:00:00 AM,106.572,4.623,102.430,0.422,,,,
280,03/04/23 07:00:00 AM,106.560,4.519,102.450,0.419,,,,
281,03/04/23 08:00:00 AM,106.560,4.519,102.470,0.417,,,,
282,03/04/23 09:00:00 AM,106.594,4.727,102.500,0.418,,,,
283,03/04/23 10:00:00 AM,106.576,5.037,102.480,0.418,,,,
284,03/04/23 11:00:00 AM,106.556,5.347,102.500,0.414,,,,
285,03/04/23 12:00:00 PM,106.463,5.962,102.430,0.411,,,,
286,03/04/23 01:00:00 PM,106.422,6.268,102.360,0.414,,,,
287,03/04/23 02:00:00 PM,106.357,6.268,102.320,0.412,,,,
288,03/04/23 03:00:00 PM,106.282,6.268,102.260,0.410,,,,
289,03/04/23 04:00:00 PM,106.250,6.268,102.220,0.411,,,,
290,03/04/23 05:00:00 PM,106.228,6.166,102.190,0.412,,,,
291,03/04/23 06:00:00 PM,106.281,5.962,102.200,0.416,,,,
292,03/04/23 07:00:00 PM,106.291,5.860,102.180,0.419,,,,
293,03/04/23 08:00:00 PM,106.300,5.655,102.160,0.422,,,,
294,03/04/23 09:00:00 PM,106.310,5.552,102.140,0.425,,,,
295,03/04/23 10:00:00 PM,106.256,5.450,102.120,0.422,,,,
296,03/04/23 11:00:00 PM,106.202,5.347,102.100,0.418,,,,
297,03/05/23 12:00:00 AM,106.115,5.244,102.010,0.419,,,,
298,03/05/23 01:00:00 AM,106.071,5.141,101.970,0.418,,,,
299,03/05/23 02:00:00 AM,105.984,5.037,101.880,0.419,,,,
300,03/05/23 03:00:00 AM,105.897,4.831,101.790,0.419,,,,
301,03/05/23 04:00:00 AM,105.831,4.727,101.730,0.418,,,,
302,03/05/23 05:00:00 AM,105.787,4.623,101.660,0.421,,,,
303,03/05/23 06:00:00 AM,105.733,4.519,101.600,0.421,,,,
304,03/05/23 07:00:00 AM,105.699,4.415,101.570,0.421,,,,
305,03/05/23 08:00:00 AM,105.645,4.311,101.570,0.416,,,,
306,03/05/23 09:00:00 AM,105.613,4.311,101.520,0.417,,,,
307,03/05/23 10:00:00 AM,105.560,4.415,101.460,0.418,,,,
308,03/05/23 11:00:00 AM,105.475,4.519,101.430,0.413,,,,
309,03/05/23 11:58:42 AM,,,,,,Logged,,
310,03/05/23 11:59:01 AM,,,,,,,Logged,Logged
